id,name,email,age,year_of_study,shirt_size,university,dietary_restrictions,programming_skills,experience_level,hackathons_done,interests,preferred_role,interest_in_challenges,preferred_languages,friend_registration,preferred_team_size,availability,Tryhard,Learner,Rookie,Portfolio
2ebad15c-c0ef-4c04-ba98-c5d98403a90c,Sara Vilar,sara_vilar@gmail.com,21,4th year,S,Universitat Internacional de Catalunya (UIC),None,"{'Data Visualization': 2, 'Flask': 4, 'React Native': 6, 'UI/UX Design': 3, 'TypeScript': 3, 'Git': 2, 'React': 5, 'MongoDB': 2, 'HTML/CSS': 5}",Intermediate,2,"['Fintech', 'Blockchain', 'Cybersecurity', 'Productivity']",Design,"['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']","['English', 'Catalan']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': False, 'Sunday morning': True, 'Sunday afternoon': True}",0.011441024999475146,0.011704372412962,0.03634661268217794,0.0
a00428a2-14a2-4fb1-838a-22394778ec88,Aurora Wells,aurora_wells@gmail.com,20,3rd year,L,Universitat Pompeu Fabra (UPF),Vegetarian,"{'React': 4, 'PostgreSQL': 5, 'Figma': 7, 'SQL': 2}",Intermediate,5,"['Productivity', 'Enterprise', 'DevOps', 'Health', 'Robotic Process Automation', 'AR/VR']",Analysis,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']",['English'],[],3,"{'Saturday morning': True, 'Saturday afternoon': False, 'Saturday night': True, 'Sunday morning': False, 'Sunday afternoon': True}",0.021212967454750212,0.03670482936483935,0.0,0.03605081677205946
ab4b5790-0e6b-43db-bbaa-8670554f0cc8,Anaïs Giacomo,anas_giacomo@outlook.com,21,3rd year,M,Universidad de Sevilla,None,"{'PostgreSQL': 4, 'TensorFlow': 5, 'Computer Vision': 6, 'Agile Methodology': 3}",Intermediate,2,"['Lifehacks', 'Health', 'Cybersecurity', 'Communication', 'Music/Art', 'DevOps']",Analysis,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']","['English', 'Spanish', 'French', 'German', 'Italian']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.017565103447860067,0.02786530220878471,0.0,0.0
cda2fafe-4b1e-4581-9fe0-1fb6d3e79aa3,Luna Solà.,luna_sol.@yahoo.com,21,3rd year,L,Universitat Internacional de Catalunya (UIC),None,"{'IoT': 4, 'HTML/CSS': 6, 'MongoDB': 5, 'Blockchain': 6, 'AWS/Azure/GCP': 2, 'Figma': 6}",Intermediate,2,"['Mobile', 'Cybersecurity', 'Quantum', 'E-commerce/Retail', 'Music/Art', 'Blockchain', 'Robotic Process Automation']",Design,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']","['English', 'Catalan']","['13a8194a-79a9-4004-8711-e6d89efa0014', '2a4877f6-c699-46a6-971f-1d1c75977ae8']",4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': False, 'Sunday morning': True, 'Sunday afternoon': True}",0.036808938075405265,0.04851475574746449,0.0,0.04399174567030376
624f4677-d31a-4ecf-a7de-5df7392f9579,Evelyn Winters,evelyn_winters@outlook.com,20,3rd year,S,Universitat Politècnica de Catalunya (UPC),None,"{'iOS Development': 2, 'Flask': 6, 'TensorFlow': 2, 'AWS/Azure/GCP': 3, 'SQL': 2, 'Computer Vision': 4, 'MongoDB': 2, 'JavaScript': 6}",Intermediate,2,"['Quantum', 'Fintech', 'Blockchain', 'DevOps', 'Lifehacks', 'Cybersecurity', 'E-commerce/Retail', 'Gaming', 'IoT']",Design,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.1009581409945197,0.0,0.034948272923691216,0.0
e3464b47-0c0a-41d7-9750-a21adb889205,Emily Rachel Winston,emily_rachel_winston@gmail.com,20,3rd year,S,Universitat Pompeu Fabra (UPF),None,"{'SQL': 6, 'Blockchain': 3, 'pytorch': 4, 'python': 4, 'Agile': 7, 'android': 4, 'react': 5}",Intermediate,4,"['Robotic Process Automation', 'E-commerce/Retail', 'Machine Learning/AI', 'Quantum']",Design,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': False, 'Sunday afternoon': True}",0.0,0.04714945459100345,0.0,0.019577210838054495
97a555b7-99a5-4a5e-8f47-631d5507e25a,Ruby Wynter,ruby_wynter@outlook.com,22,4th year,M,Universitat Internacional de Catalunya (UIC),Vegetarian,"{'iOS Development': 4, 'TensorFlow': 4, 'Rust': 7, 'Flutter': 5, 'Figma': 7}",Intermediate,3,"['Mobile', 'Fintech', 'Lifehacks']",Development,"['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.0056689696123865116,0.0,0.0
725b1704-4da0-423d-b51a-b465f2a41906,Ana Isabel Serraño.,ana_isabel_serrano.@gmail.com,18,2nd year,M,Universitat Politècnica de Catalunya (UPC),Vegetarian,"{'iOS Development': 4, 'UI/UX Design': 4, 'Java': 2, 'Rust': 4, 'JavaScript': 5}",Intermediate,5,"['Machine Learning/AI', 'Communication', 'IoT', 'Health', 'E-commerce/Retail']",Development,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']","['English', 'Catalan', 'Spanish']","['ae5a6bbe-8911-4195-9589-4ce25d6ddc8e', 'b8d50918-f0b5-4452-aae3-c097eafd99ab']",4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': False, 'Sunday morning': True, 'Sunday afternoon': True}",0.11004871817433551,0.0028228017266122784,0.0,0.0
14cf6a5f-7e48-49c8-9e59-522fe1178ad8,Alessandra Pérez Oliveira,alessandra_prez_oliveira@gmail.com,20,2nd year,M,Universitat Politècnica de Catalunya (UPC),None,"{'Agile Methodology': 6, 'PostgreSQL': 6, 'iOS Development': 3, 'Flask': 6, 'HTML/CSS': 4, 'Flutter': 7}",Intermediate,5,"['Machine Learning/AI', 'E-commerce/Retail', 'Productivity', 'Social Good']",Design,"['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']","['English', 'Catalan', 'Portuguese']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.007344292909563285,0.0,0.0
359f324b-b3ec-4770-8a60-86493503fee4,Alessia Winston,alessia_winston@gmail.com,20,2nd year,S,Politecnico di Milano,None,"{'PostgreSQL': 3, 'IoT': 6, 'Blockchain': 7, 'Python': 5}",Intermediate,5,"['E-commerce/Retail', 'Databases', 'IoT']",Don't know,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']","['English', 'Italian']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': False, 'Sunday afternoon': True}",0.06551260733169752,0.016416444813533146,0.0,0.0
